Algorithm,Cost,Time,Algorithm,Knapsack,Recursive Knapsack,Dynamic,Static
Knapsack,5346,0.0012049674987792969
Recursive Knapsack,5346,0.32021665573120117
Dynamic,4473,0.0009837150573730469
Static,6388,0.001997232437133789
Algorithm,1602,0.002004861831665039
Knapsack,5346,0.0
Recursive Knapsack,5346,0.29443955421447754
Dynamic,4473,0.0019876956939697266
Static,6388,0.001995563507080078
Algorithm,1602,0.0012607574462890625
Knapsack,5346,0.001325845718383789
Recursive Knapsack,5346,0.3032877445220947
Dynamic,4473,0.0011835098266601562
Static,6388,0.002228975296020508
Algorithm,1602,0.0024220943450927734
Knapsack,5346,0.0
Recursive Knapsack,5346,0.3454768657684326
Dynamic,4473,0.002033233642578125
Static,6388,0.0015096664428710938
Algorithm,1602,0.0018639564514160156
Knapsack,5346,0.0015103816986083984
Recursive Knapsack,5346,0.366741418838501
Dynamic,4473,0.002020120620727539
Static,6388,0.00249481201171875
Algorithm,1602,0.002337932586669922
Knapsack,5346,0.0
Recursive Knapsack,5346,0.31081581115722656
Dynamic,4473,0.0030858516693115234
Static,6388,0.0010082721710205078
Algorithm,1602,0.0019152164459228516
Knapsack,5346,0.0
Recursive Knapsack,5346,0.3137509822845459
Dynamic,4473,0.0020601749420166016
Static,6388,0.0010561943054199219
Algorithm,1602,0.0013608932495117188
Knapsack,5346,0.0010104179382324219
Recursive Knapsack,5346,0.35314416885375977
Dynamic,4473,0.0009982585906982422
Static,6388,0.0020008087158203125
Algorithm,1602,0.0020813941955566406
Knapsack,5346,0.0005095005035400391
Recursive Knapsack,5346,0.31099629402160645
Dynamic,4473,0.0019855499267578125
Static,6388,0.0017011165618896484
Algorithm,1602,0.002998828887939453
Knapsack,5346,0.001997709274291992
Recursive Knapsack,5346,0.31514453887939453
Dynamic,4473,0.001980304718017578
Static,6388,0.0010042190551757812
Algorithm,1602,0.003016233444213867
Knapsack,5346,0.0011603832244873047
Recursive Knapsack,5346,0.31212496757507324
Dynamic,4473,0.0020003318786621094
Static,6388,0.0019996166229248047
Algorithm,1602,0.0010111331939697266
Knapsack,5346,0.001001596450805664
Recursive Knapsack,5346,0.3052353858947754
Dynamic,4473,0.0010099411010742188
Static,6388,0.002019643783569336
Algorithm,1602,0.002396821975708008
Knapsack,5346,0.000997304916381836
Recursive Knapsack,5346,0.3040776252746582
Dynamic,4473,0.0020313262939453125
Static,6388,0.0009849071502685547
Algorithm,1602,0.0013251304626464844
Knapsack,5346,0.0015091896057128906
Recursive Knapsack,5346,0.32211804389953613
Dynamic,4473,0.0020029544830322266
Static,6388,0.0009832382202148438
Algorithm,1602,0.00101470947265625
Knapsack,5346,0.0008285045623779297
Recursive Knapsack,5346,0.32036709785461426
Dynamic,4473,0.002053499221801758
Static,6388,0.0015544891357421875
Algorithm,1602,0.0019998550415039062
Knapsack,5346,0.0
Recursive Knapsack,5346,0.32202577590942383
Dynamic,4473,0.001558065414428711
Static,6388,0.001981496810913086
Algorithm,1602,0.0009970664978027344
Knapsack,5346,0.0015003681182861328
Recursive Knapsack,5346,0.3072700500488281
Dynamic,4473,0.0009999275207519531
Static,6388,0.00263214111328125
Algorithm,1602,0.0011773109436035156
Knapsack,5346,0.0011591911315917969
Recursive Knapsack,5346,0.31070590019226074
Dynamic,4473,0.001149892807006836
Static,6388,0.002055644989013672
Algorithm,1602,0.0010161399841308594
Knapsack,5346,0.0012636184692382812
Recursive Knapsack,5346,0.3078911304473877
Dynamic,4473,0.0020287036895751953
Static,6388,0.001982450485229492
Algorithm,1602,0.0010890960693359375
Knapsack,5346,0.0010597705841064453
Recursive Knapsack,5346,0.3101463317871094
Dynamic,4473,0.0010001659393310547
Static,6388,0.0019826889038085938
Algorithm,1602,0.001363992691040039
Knapsack,5346,0.001065969467163086
Recursive Knapsack,5346,0.3661797046661377
Dynamic,4473,0.0009799003601074219
Static,6388,0.002997875213623047
Algorithm,1602,0.0024204254150390625
Knapsack,5346,0.0
Recursive Knapsack,5346,0.30601930618286133
Dynamic,4473,0.0020143985748291016
Static,6388,0.0011546611785888672
Algorithm,2716.0,0.0009965896606445312
Knapsack,2453.0,0.0020036697387695312
Recursive Knapsack,inf,0.0020003318786621094
Dynamic,3117.0,0.0
Static,681.0,0.0009963512420654297
Algorithm,3389.0,0.0009980201721191406
Knapsack,2343.0,0.0012123584747314453
Recursive Knapsack,inf,0.0
Dynamic,1594.0,0.0
Static,1172.0,0.0015995502471923828
Algorithm,2967.0,0.0009996891021728516
Knapsack,2539.0,0.0009996891021728516
Recursive Knapsack,inf,0.008002281188964844
Dynamic,3435.0,0.0010120868682861328
Static,1039.0,0.001003265380859375
Algorithm,3003.0,0.0020020008087158203
Knapsack,2643.0,0.0
Recursive Knapsack,inf,0.002017974853515625
Dynamic,4871.0,0.0
Static,382.0,0.0013782978057861328
Algorithm,3385.0,0.002000093460083008
Knapsack,2667.0,0.0010013580322265625
Recursive Knapsack,inf,0.0009987354278564453
Dynamic,4749.0,0.0
Static,377.0,0.0010013580322265625
Algorithm,2484.0,0.001999378204345703
Knapsack,2166.0,0.0023763179779052734
Recursive Knapsack,inf,0.0042836666107177734
Dynamic,2048.0,0.0010170936584472656
Static,937.0,0.0023221969604492188
Algorithm,2673.0,0.0011420249938964844
Knapsack,2488.0,0.0010218620300292969
Recursive Knapsack,inf,0.008440971374511719
Dynamic,3681.0,0.001001596450805664
Static,539.0,0.002476930618286133
Algorithm,3260.0,0.0010132789611816406
Knapsack,2705.0,0.0010907649993896484
Recursive Knapsack,inf,0.0
Dynamic,2280.0,0.0012371540069580078
Static,1399.0,0.0010669231414794922
Algorithm,2999.0,0.0009963512420654297
Knapsack,2462.0,0.0010008811950683594
Recursive Knapsack,inf,0.004003047943115234
Dynamic,3559.0,0.0009980201721191406
Static,777.0,0.001013040542602539
Algorithm,3595.0,0.0014538764953613281
Knapsack,2786.0,0.0010519027709960938
Recursive Knapsack,inf,0.010440587997436523
Dynamic,4015.0,0.0011374950408935547
Static,910.0,0.0
Algorithm,3549.0,0.001270294189453125
Knapsack,2335.0,0.0011601448059082031
Recursive Knapsack,inf,0.0010159015655517578
Dynamic,2297.0,0.0010142326354980469
Static,316.0,0.001990079879760742
Algorithm,3488.0,0.0020418167114257812
Knapsack,2620.0,0.0
Recursive Knapsack,inf,0.0020911693572998047
Dynamic,3457.0,0.0010190010070800781
Static,2406.0,0.001538991928100586
Algorithm,3541.0,0.0010273456573486328
Knapsack,2536.0,0.0
Recursive Knapsack,inf,0.0010175704956054688
Dynamic,2909.0,0.0013575553894042969
Static,769.0,0.00101470947265625
Algorithm,2897.0,0.0011038780212402344
Knapsack,2407.0,0.0010182857513427734
Recursive Knapsack,inf,0.010532379150390625
Dynamic,2415.0,0.0010042190551757812
Static,1220.0,0.0013337135314941406
Algorithm,2066.0,0.0010254383087158203
Knapsack,2124.0,0.0011074542999267578
Recursive Knapsack,inf,0.005958080291748047
Dynamic,4258.0,0.0013654232025146484
Static,448.0,0.0
Algorithm,2995.0,0.0010380744934082031
Knapsack,2468.0,0.0010166168212890625
Recursive Knapsack,inf,0.003523588180541992
Dynamic,3295.0,0.002017498016357422
Static,766.0,0.0010199546813964844
Algorithm,2688.0,0.0010228157043457031
Knapsack,2196.0,0.0009958744049072266
Recursive Knapsack,inf,0.008997440338134766
Dynamic,2298.0,0.001003265380859375
Static,791.0,0.0009984970092773438
Algorithm,3753.0,0.0010006427764892578
Knapsack,2410.0,0.0
Recursive Knapsack,inf,0.001226663589477539
Dynamic,2017.0,0.0
Static,260.0,0.0010066032409667969
Algorithm,2783.0,0.0009968280792236328
Knapsack,2515.0,0.0009999275207519531
Recursive Knapsack,inf,0.0030639171600341797
Dynamic,4236.0,0.0010077953338623047
Static,573.0,0.0
Algorithm,2553.0,0.0012421607971191406
Knapsack,2285.0,0.0
Recursive Knapsack,inf,0.0046007633209228516
Dynamic,4058.0,0.001001596450805664
Static,589.0,0.0
Algorithm,2905.0,0.0010023117065429688
Knapsack,2286.0,0.0009980201721191406
Recursive Knapsack,inf,0.0
Dynamic,1789.0,0.0
Static,1401.0,0.00099945068359375
Algorithm,3059.0,0.001001119613647461
Knapsack,2439.0,0.0
Recursive Knapsack,inf,0.019083738327026367
Dynamic,3841.0,0.0
Static,259.0,0.0011911392211914062
Algorithm,2843.0,0.0
Knapsack,2391.0,0.0010061264038085938
Recursive Knapsack,inf,0.00099945068359375
Dynamic,3627.0,0.0
Static,553.0,0.0010006427764892578
Algorithm,2896.0,0.0009984970092773438
Knapsack,2493.0,0.0
Recursive Knapsack,inf,0.0019996166229248047
Dynamic,3643.0,0.0
Static,995.0,0.0010020732879638672
Algorithm,2905.0,0.0
Knapsack,2143.0,0.0011265277862548828
Recursive Knapsack,inf,0.0005040168762207031
Dynamic,2436.0,0.0
Static,624.0,0.0
Algorithm,3289.0,0.0010044574737548828
Knapsack,2234.0,0.0
Recursive Knapsack,inf,0.0010001659393310547
Dynamic,2276.0,0.0
Static,540.0,0.0
Algorithm,3709.0,0.0013835430145263672
Knapsack,2582.0,0.0
Recursive Knapsack,inf,0.0010075569152832031
Dynamic,3446.0,0.0
Static,374.0,0.0
Algorithm,3002.0,0.0009961128234863281
Knapsack,2343.0,0.0
Recursive Knapsack,inf,0.001085519790649414
Dynamic,3147.0,0.0
Static,1137.0,0.0010066032409667969
Algorithm,2987.0,0.0
Knapsack,2276.0,0.00139617919921875
Recursive Knapsack,inf,0.0
Dynamic,2161.0,0.0
Static,1002.0,0.0
Algorithm,3143.0,0.0010037422180175781
Knapsack,2166.0,0.0
Recursive Knapsack,inf,0.0015304088592529297
Dynamic,2426.0,0.0010123252868652344
Static,774.0,0.0
Algorithm,2140.0,0.0
Knapsack,2349.0,0.0010056495666503906
Recursive Knapsack,inf,0.0005047321319580078
Dynamic,3732.0,0.0010066032409667969
Static,1269.0,0.0
Algorithm,2090.0,0.0009984970092773438
Knapsack,2324.0,0.0
Recursive Knapsack,inf,0.001997232437133789
Dynamic,4284.0,0.0
Static,1748.0,0.001003265380859375
Algorithm,3908.0,0.0
Knapsack,2682.0,0.0
Recursive Knapsack,inf,0.0011305809020996094
Dynamic,3120.0,0.0
Static,96.0,0.0014472007751464844
Algorithm,4390.0,0.0009980201721191406
Knapsack,2777.0,0.0
Recursive Knapsack,inf,0.0009963512420654297
Dynamic,2537.0,0.0
Static,771.0,0.0
Algorithm,3299.0,0.0
Knapsack,2407.0,0.0012810230255126953
Recursive Knapsack,inf,0.0005064010620117188
Dynamic,3742.0,0.0
Static,498.0,0.0
Algorithm,3968.0,0.0
Knapsack,2564.0,0.0
Recursive Knapsack,inf,0.009410858154296875
Dynamic,2963.0,0.0010004043579101562
Static,1524.0,0.0
Algorithm,3825.0,0.0009999275207519531
Knapsack,2610.0,0.0
Recursive Knapsack,inf,0.0010001659393310547
Dynamic,2531.0,0.0
Static,602.0,0.0
Algorithm,2710.0,0.0010013580322265625
Knapsack,2399.0,0.0
Recursive Knapsack,inf,0.0009982585906982422
Dynamic,3249.0,0.0009989738464355469
Static,1786.0,0.0
Algorithm,2850.0,0.0009980201721191406
Knapsack,2540.0,0.0
Recursive Knapsack,inf,0.015450000762939453
Dynamic,2932.0,0.0
Static,1783.0,0.0009996891021728516
Algorithm,3910.0,0.0
Knapsack,2636.0,0.001155853271484375
Recursive Knapsack,inf,0.0
Dynamic,1985.0,0.0
Static,1342.0,0.0010056495666503906
Algorithm,3053.0,0.0010025501251220703
Knapsack,2419.0,0.0009982585906982422
Recursive Knapsack,inf,0.0
Dynamic,3024.0,0.0
Static,1237.0,0.0009980201721191406
Algorithm,3862.0,0.0014100074768066406
Knapsack,2697.0,0.0010089874267578125
Recursive Knapsack,inf,0.0
Dynamic,1497.0,0.0
Static,1391.0,0.0010020732879638672
Algorithm,3439.0,0.0
Knapsack,2679.0,0.0012519359588623047
Recursive Knapsack,inf,0.00534820556640625
Dynamic,3861.0,0.0009965896606445312
Static,0.0,0.0
Algorithm,2518.0,0.001142740249633789
Knapsack,2160.0,0.0
Recursive Knapsack,inf,0.0
Dynamic,2694.0,0.001016855239868164
Static,830.0,0.0
Algorithm,3183.0,0.0
Knapsack,2474.0,0.001262664794921875
Recursive Knapsack,inf,0.0010068416595458984
Dynamic,3658.0,0.0
Static,1014.0,0.0010249614715576172
Algorithm,3932.0,0.001363992691040039
Knapsack,2751.0,0.0
Recursive Knapsack,inf,0.0
Dynamic,2584.0,0.001005411148071289
Static,705.0,0.0
Algorithm,2583.0,0.001087188720703125
Knapsack,2491.0,0.0
Recursive Knapsack,inf,0.002003908157348633
Dynamic,3776.0,0.0
Static,1058.0,0.0010004043579101562
Algorithm,2869.0,0.0
Knapsack,2424.0,0.0
Recursive Knapsack,inf,0.0010023117065429688
Dynamic,3117.0,0.0
Static,1271.0,0.0009965896606445312
Algorithm,1867.0,0.0
Knapsack,2153.0,0.0010259151458740234
Recursive Knapsack,inf,0.009039878845214844
Dynamic,5099.0,0.0
Static,346.0,0.0013704299926757812
Algorithm,3795.0,0.0
Knapsack,2574.0,0.0015418529510498047
Recursive Knapsack,inf,0.0
Dynamic,2519.0,0.0
Static,1187.0,0.0010104179382324219
Algorithm,2832.0,0.0010001659393310547
Knapsack,2322.0,0.0
Recursive Knapsack,inf,0.0
Dynamic,2638.0,0.0009992122650146484
Static,1407.0,0.0
Algorithm,3411.0,0.0010056495666503906
Knapsack,2537.0,0.0
Recursive Knapsack,inf,0.0011048316955566406
Dynamic,3634.0,0.0
Static,1606.0,0.0
Algorithm,2969.0,0.0
Knapsack,2518.0,0.0010597705841064453
Recursive Knapsack,inf,0.008702278137207031
Dynamic,4353.0,0.0014052391052246094
Static,425.0,0.0
Algorithm,3342.0,0.0
Knapsack,2550.0,0.0
Recursive Knapsack,inf,0.0012540817260742188
Dynamic,2926.0,0.001117706298828125
Static,925.0,0.0
Algorithm,2520.0,0.0
Knapsack,2094.0,0.0010073184967041016
Recursive Knapsack,inf,0.0
Dynamic,2238.0,0.0010008811950683594
Static,1135.0,0.0
Algorithm,2119.0,0.0010194778442382812
Knapsack,2175.0,0.0
Recursive Knapsack,inf,0.002071857452392578
Dynamic,4977.0,0.0
Static,620.0,0.001001119613647461
Algorithm,3063.0,0.0010030269622802734
Knapsack,2349.0,0.0009949207305908203
Recursive Knapsack,inf,0.0009996891021728516
Dynamic,2900.0,0.0
Static,1052.0,0.0010001659393310547
Algorithm,2613.0,0.0020024776458740234
Knapsack,2413.0,0.0
Recursive Knapsack,inf,0.0016319751739501953
Dynamic,3826.0,0.0
Static,687.0,0.0010046958923339844
Algorithm,3229.0,0.0
Knapsack,2437.0,0.0
Recursive Knapsack,inf,0.0014057159423828125
Dynamic,3145.0,0.0
Static,867.0,0.0010075569152832031
Algorithm,3577.0,0.0
Knapsack,2354.0,0.001068115234375
Recursive Knapsack,inf,0.0
Dynamic,2509.0,0.0
Static,1186.0,0.0
Algorithm,2805.0,0.0
Knapsack,2616.0,0.0014586448669433594
Recursive Knapsack,inf,0.0010075569152832031
Dynamic,4609.0,0.0010001659393310547
Static,2175.0,0.0
Algorithm,2873.0,0.0
Knapsack,2438.0,0.001195669174194336
Recursive Knapsack,inf,0.009401798248291016
Dynamic,4934.0,0.0
Static,675.0,0.0009984970092773438
Algorithm,3169.0,0.0
Knapsack,2654.0,0.0014731884002685547
Recursive Knapsack,inf,0.009008407592773438
Dynamic,5546.0,0.000997781753540039
Static,114.0,0.0
Algorithm,3169.0,0.0009984970092773438
Knapsack,2222.0,0.0010194778442382812
Recursive Knapsack,inf,0.0010063648223876953
Dynamic,2711.0,0.0
Static,7.0,0.0
Algorithm,2522.0,0.0010056495666503906
Knapsack,2263.0,0.0
Recursive Knapsack,inf,0.001455068588256836
Dynamic,4515.0,0.0
Static,195.0,0.0
Algorithm,2039.0,0.0009968280792236328
Knapsack,2201.0,0.0
Recursive Knapsack,inf,0.003999233245849609
Dynamic,4997.0,0.0
Static,577.0,0.0
Algorithm,3017.0,0.001314401626586914
Knapsack,2066.0,0.0
Recursive Knapsack,inf,0.001005411148071289
Dynamic,2505.0,0.0
Static,459.0,0.0
Algorithm,3403.0,0.0
Knapsack,2482.0,0.0010633468627929688
Recursive Knapsack,inf,0.0
Dynamic,3295.0,0.001005411148071289
Static,543.0,0.0
Algorithm,3658.0,0.0011928081512451172
Knapsack,2342.0,0.0
Recursive Knapsack,inf,0.0
Dynamic,1551.0,0.0
Static,1192.0,0.0010058879852294922
Algorithm,2838.0,0.0
Knapsack,2156.0,0.0
Recursive Knapsack,inf,0.0010001659393310547
Dynamic,2690.0,0.0
Static,664.0,0.0010006427764892578
Algorithm,3437.0,0.001008749008178711
Knapsack,2679.0,0.0
Recursive Knapsack,inf,0.0014505386352539062
Dynamic,3618.0,0.0005056858062744141
Static,870.0,0.0
Algorithm,3005.0,0.0010020732879638672
Knapsack,2323.0,0.0
Recursive Knapsack,inf,0.0010666847229003906
Dynamic,3411.0,0.0
Static,889.0,0.0010068416595458984
Algorithm,2654.0,0.001055002212524414
Knapsack,2378.0,0.0
Recursive Knapsack,inf,0.0012865066528320312
Dynamic,4270.0,0.0010068416595458984
Static,820.0,0.0
Algorithm,3545.0,0.0
Knapsack,2499.0,0.001001596450805664
Recursive Knapsack,inf,0.0
Dynamic,1712.0,0.0
Static,1000.0,0.0010006427764892578
Algorithm,2431.0,0.0
Knapsack,2169.0,0.001026153564453125
Recursive Knapsack,inf,0.000507354736328125
Dynamic,3805.0,0.0
Static,931.0,0.0010066032409667969
Algorithm,2587.0,0.0
Knapsack,2117.0,0.001257181167602539
Recursive Knapsack,inf,0.0
Dynamic,2024.0,0.0010213851928710938
Static,1511.0,0.0
Algorithm,3271.0,0.0009965896606445312
Knapsack,2485.0,0.0013418197631835938
Recursive Knapsack,inf,0.008006811141967773
Dynamic,2768.0,0.0
Static,1162.0,0.0
Algorithm,3021.0,0.0014338493347167969
Knapsack,2574.0,0.001458883285522461
Recursive Knapsack,inf,0.0010046958923339844
Dynamic,3993.0,0.0010440349578857422
Static,1227.0,0.0
Algorithm,3031.0,0.0009953975677490234
Knapsack,2549.0,0.0
Recursive Knapsack,inf,0.0009989738464355469
Dynamic,4076.0,0.0
Static,1083.0,0.0
Algorithm,2671.0,0.0010058879852294922
Knapsack,2245.0,0.0
Recursive Knapsack,inf,0.0
Dynamic,1776.0,0.0010035037994384766
Static,1155.0,0.0
Algorithm,2852.0,0.0
Knapsack,2202.0,0.0010056495666503906
Recursive Knapsack,inf,0.00099945068359375
Dynamic,2524.0,0.0
Static,700.0,0.0
Algorithm,3588.0,0.0
Knapsack,1976.0,0.0
Recursive Knapsack,inf,0.0
Dynamic,1065.0,0.0013997554779052734
Static,866.0,0.0005049705505371094
Algorithm,2773.0,0.0
Knapsack,2234.0,0.000997304916381836
Recursive Knapsack,inf,0.0
Dynamic,2776.0,0.0
Static,1026.0,0.0009999275207519531
Algorithm,2015.0,0.0010013580322265625
Knapsack,2309.0,0.0
Recursive Knapsack,inf,0.0010001659393310547
Dynamic,4931.0,0.0009984970092773438
Static,1338.0,0.0
Algorithm,3416.0,0.001196146011352539
Knapsack,2481.0,0.0
Recursive Knapsack,inf,0.0012078285217285156
Dynamic,3480.0,0.0
Static,842.0,0.0
Algorithm,4382.0,0.0
Knapsack,2879.0,0.0012164115905761719
Recursive Knapsack,inf,0.015123128890991211
Dynamic,3444.0,0.0
Static,473.0,0.0010869503021240234
Algorithm,2599.0,0.0010104179382324219
Knapsack,2111.0,0.0
Recursive Knapsack,inf,0.0011365413665771484
Dynamic,2816.0,0.0010051727294921875
Static,559.0,0.0
Algorithm,3476.0,0.001405954360961914
Knapsack,2361.0,0.0
Recursive Knapsack,inf,0.0
Dynamic,1893.0,0.0010328292846679688
Static,1324.0,0.0
